Name,Category,Barcode,Brand,Current Stock (Fill In),Cost Price (Fill In),Selling Price (Fill In)
Scale large,Stationary,,,,,
Scale small,Stationary,,,,,
Scissor,Stationary,,,,,
Sharpner,Stationary,,,,,
Sketch colour mini,Stationary,,,,,
Sparkle dry glitter,Stationary,,,,,
Stamp pad,Stationary,,,,,
Stapler medium,Stationary,,,,,
Stapler pin,Stationary,,,,,
Stapler small,Stationary,,,,,
Steel scale,Stationary,,,,,
Stick File,Stationary,,,,,
Sticky notes,Stationary,,,,,
Suitcase file,Stationary,,,,,
Tiffin box,Stationary,,,,,
tiffin box worth,Stationary,,,,,
Top quality register,Stationary,,,,,
Transparent chain pencil bag,Stationary,,,,,
Water bottle worth 100,Stationary,,,,,
Water bottle worth 150,Stationary,,,,,
Water bottle worth 170,Stationary,,,,,
Water bottle worth 250,Stationary,,,,,
Water bottle worth 70,Stationary,,,,,
Water bottle worth 80,Stationary,,,,,
Water bottle worth 90,Stationary,,,,,
World map,Stationary,,,,,
Alphabet set,Toys,,,,,
Animal set,Toys,,,,,
Blocks,Toys,,,,,
Bubble stick,Toys,,,,,
Cube,Toys,,,,,
Doctor set,Toys,,,,,
Doll set,Toys,,,,,
Doll single,Toys,,,,,
Duck set,Toys,,,,,
Fighter plane,Toys,,,,,
Fruit set,Toys,,,,,
Gannu set,Toys,,,,,
Gun,Toys,,,,,
Gyro gun,Toys,,,,,
Ice cream set,Toys,,,,,
Jhunjhuna,Toys,,,,,
Kitchen set,Toys,,,,,
Large bat,Toys,,,,,
Large size car,Toys,,,,,
Medium bat,Toys,,,,,
Medium size car,Toys,,,,,
Motor bike large,Toys,,,,,
Motor bike set,Toys,,,,,
Normal ball,Toys,,,,,
Number set,Toys,,,,,
Plastic ball,Toys,,,,,
Remote,Toys,,,,,
Remote car,Toys,,,,,
Small bat,Toys,,,,,
Small car,Toys,,,,,
Super heroes,Toys,,,,,
Talking cactus,Toys,,,,,
Teddy bear,Toys,,,,,
Tennis ball,Toys,,,,,
Train,Toys,,,,,
Water video game,Toys,,,,,
